stimulation_amplitude, amplitude
1.0,2.8086341501472107
1.09,5.135470975267381
1.18,4.718590815797464
1.27,2.3475921632983265
1.36,0.12616841991814098
1.45,4.0142920906466495
1.54,36.111580514015216
1.63,7.455191846454673
1.72,25.22685966713182
1.81,42.011868666761416
1.9,11.793610458014085
1.99,16.154624476709284
2.08,22.648028967109763
2.17,9.746075669084341
2.26,45.010817563925634
2.35,71.19389558978867
2.44,171.540982185463
2.53,55.07400138694245
2.62,26.639294408407807
2.71,57.232518664222624
2.8,96.76786135134805
2.89,119.53834314577443
2.98,110.09212617731943
3.07,127.71786558027802
3.16,223.32726316675056
3.25,213.00757834724138
3.34,217.1331869159377
3.43,271.6465746605779
3.52,309.0896253828003
3.61,360.0950060237807
3.7,348.16406539806695
3.79,424.3070982970995
3.88,471.6942747892932
3.97,446.64357697077423
4.06,472.5685012777616
4.15,480.89589951717966
4.24,541.6811949749798
4.33,577.6720374776943
4.42,604.512005281873
4.51,651.2100798978119
4.6,686.5314436174675
4.69,756.7320321828363
4.78,702.0614211025465
4.87,776.6419903221163
4.96,794.7340560881528
5.05,814.0548186972542
5.14,823.542283826331
5.23,866.2586495760238
5.32,909.6597462974814
5.41,904.1255696258369
5.5,955.4928133494593
5.59,994.0610107408149
5.68,985.2957188451728
5.77,1001.369426636363
5.86,1026.087295944989
5.95,1012.136117968073
6.04,1041.3204501349996
6.13,1095.6883503298498
6.22,1124.2416206178862
6.31,1090.642179071009
6.4,1120.4847175624989
6.49,1155.0154882946044
6.58,1146.9640818766995
6.67,1137.7962005150355
6.76,1192.0978773500165
6.85,1204.9110007050206
6.94,1192.0809193022521
7.03,1226.549586294331
7.12,1223.1714917647541
7.21,1242.578144732855
7.3,1277.762374216444
7.39,1276.0981300442484
7.48,1297.032255591763
7.57,1309.1397751879344
7.66,1286.2894507613562
7.75,1276.5074261150003
7.84,1302.4173863809365
7.93,1324.0939771525066
8.02,1354.3039643192733
8.11,1361.2569088266973
8.2,1350.1282975366585
8.29,1398.066875967747
8.38,1382.7385554102234
8.47,1356.1416418604313
8.56,1394.9397115523245
8.65,1429.851919591599
8.74,1429.8950721521965
8.83,1413.0389908453453
8.92,1430.0933663164192
9.01,1464.8513157770517
9.1,1428.5304436982267
9.19,1349.1312115888893
9.28,1335.514441739833
9.37,1320.0553674691178
9.46,1240.2499648274663
9.55,1225.4092680378294
9.64,1165.3006089045193
9.73,1136.768078465767
9.82,1179.2255110741744
9.91,1112.8490417347564
10.0,1158.5539660363156
